City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
villaviciosa,43.48,-5.44,61.0,62,27,7.63,ES,1602861233
mezen,65.85,44.24,33.6,97,100,7.87,RU,1602860971
collierville,35.04,-89.66,57.0,66,5,5.82,US,1602861234
portland,45.52,-122.68,48.2,93,40,3.36,US,1602861019
khammam,17.25,80.15,79.32,80,100,2.84,IN,1602861234
cockburn town,21.46,-71.14,83.44,79,2,15.82,TC,1602861234
poum,-20.23,164.02,72.95,79,60,6.26,NC,1602861005
arrifes,37.77,-25.7,71.6,73,40,9.17,PT,1602861234
ekuvukeni,-28.47,30.16,72.45,45,14,11.99,ZA,1602861234
itacoatiara,-3.14,-58.44,96.71,36,13,5.17,BR,1602860968
morondava,-20.28,44.28,78.98,72,19,13.09,MG,1602861235
otradnoye,59.78,30.82,41.0,65,75,6.71,RU,1602860947
amga,60.9,131.96,18.68,95,98,3.31,RU,1602861235
ghanzi,-21.57,21.78,92.57,13,24,15.97,BW,1602861235
sabang,5.89,95.32,83.12,76,34,19.51,ID,1602861025
yulara,-25.24,130.99,86.0,20,0,10.29,AU,1602861006
japura,-0.32,102.35,78.01,84,89,1.68,ID,1602861235
mareeba,-17.0,145.43,71.6,73,40,6.93,AU,1602861235
karratha,-20.74,116.85,71.8,68,0,16.64,AU,1602861236
nalut,30.33,10.85,92.39,11,52,14.9,LY,1602861236
panlaitan,12.12,119.85,81.52,79,99,12.75,PH,1602861236
abu zabad,12.35,29.25,97.05,19,36,3.6,SD,1602861236
port-gentil,-0.72,8.78,82.4,69,75,13.87,GA,1602861236
maxixe,-23.86,35.35,82.0,65,0,11.41,MZ,1602861236
maragogi,-9.01,-35.22,82.36,63,37,10.4,BR,1602861237
villa del rosario,7.83,-72.47,89.6,46,20,20.8,CO,1602860947
murray bridge,-35.12,139.27,55.99,95,99,9.24,AU,1602861002
huilong,31.81,121.66,60.01,93,93,6.98,CN,1602861237
itamaraca,-7.75,-34.83,82.4,69,40,9.17,BR,1602861237
chitral,35.85,71.79,63.9,27,0,1.61,PK,1602861237
kahramanmaras,38.0,37.0,78.8,50,20,18.34,TR,1602861237
belmonte,-15.86,-38.88,82.4,61,40,8.05,BR,1602861238
talnakh,69.49,88.4,23.0,92,40,8.95,RU,1602861238
jaca,42.57,-0.55,57.99,44,1,3.31,ES,1602861238
gilgit,35.92,74.31,67.03,24,0,1.57,PK,1602861238
saint-joseph,-21.37,55.62,75.2,78,49,10.29,RE,1602861238
meiktila,20.87,95.87,79.61,77,12,2.73,MM,1602860984
jumla,29.27,82.18,53.92,64,1,2.77,NP,1602861238
fasa,28.94,53.65,73.4,9,0,6.93,IR,1602861238
iqaluit,63.75,-68.51,33.8,98,90,8.05,CA,1602860999
betafo,-19.83,46.85,69.24,66,63,2.66,MG,1602861239
torbay,47.67,-52.73,57.0,100,90,2.24,CA,1602861239
xining,36.62,101.77,40.05,66,0,2.19,CN,1602860986
santa helena de goias,-17.81,-50.6,89.24,42,36,8.12,BR,1602861239
gopalpur,19.27,84.92,81.19,84,3,4.29,IN,1602861239
villazon,-22.09,-65.59,52.59,56,100,2.44,BO,1602861239
sorland,67.67,12.69,44.6,81,90,10.29,NO,1602861239
chulym,55.1,80.96,43.54,75,100,13.51,RU,1602861240
pec,42.66,20.29,60.8,63,40,11.41,XK,1602861240
inuvik,68.35,-133.72,21.2,79,90,11.41,CA,1602861240
burnie,-41.07,145.92,48.99,71,100,8.01,AU,1602861086
oistins,13.07,-59.53,87.8,70,40,18.34,BB,1602861240
asosa,10.07,34.53,66.97,92,97,3.27,ET,1602861240
caledon,-34.23,19.43,82.0,55,0,3.0,ZA,1602861240
paveh,35.04,46.36,51.8,46,6,1.81,IR,1602861241
sehithwa,-20.47,22.72,94.98,10,52,15.12,BW,1602861241
vao,-22.67,167.48,69.62,83,16,19.15,NC,1602861241
sarahan,31.52,77.8,54.48,39,0,4.32,IN,1602861241
seoul,37.57,126.98,50.0,87,40,2.82,KR,1602861179
noumea,-22.28,166.46,66.2,93,75,2.24,NC,1602861241
port hueneme,34.15,-119.2,80.01,59,1,1.32,US,1602861241
wonthaggi,-38.6,145.59,55.0,94,100,12.46,AU,1602861242
ust-kuyga,70.02,135.6,16.03,96,100,5.01,RU,1602861242
krasnoarmeysk,51.02,45.7,63.0,46,100,1.99,RU,1602861182
kaoma,-14.78,24.8,89.19,23,0,9.55,ZM,1602861242
belozerskoye,55.82,65.58,54.25,56,67,10.67,RU,1602861242
trujillo,-8.12,-79.03,60.8,87,90,8.05,PE,1602861003
fenyi,27.81,114.67,60.22,93,100,3.09,CN,1602861242
nosy varika,-20.58,48.53,74.77,83,22,6.53,MG,1602860959
